participant_id,treatment,task_01,task_02,task_03,task_04,task_05,task_06,task_07,task_08,task_09,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20
P001,1,54.96,51.13,47.98,48.41,45.37,59.98,54.13,42.4,61.04,57.22,58.21,49.07,56.8,61.69,36.25,56.08,49.69,46.82,46.45,41.8
P002,1,55.76,65.33,48.8,52.59,48.69,55.27,46.76,56.35,55.84,64.34,48.97,61.19,60.6,65.14,65.14,63.15,59.79,45.09,67.44,70.76
P003,0,60.49,51.37,48.69,58.07,44.72,56.1,48.05,52.65,50.65,54.68,56.33,53.47,46.42,60.57,53.45,56.89,54.77,54.73,59.09,45.59
P004,1,60.37,49.98,40.88,49.51,64.56,36.88,46.02,35.56,40.12,50.87,43.94,43.27,46.89,35.81,38.31,62.46,51.82,48.32,60.78,51.61
P005,0,55.01,61.52,53.66,69.11,56.31,61.23,44.52,57.8,47.3,36.37,56.76,65.64,51.99,50.31,54.1,49.74,50.01,57.36,63.21,35.16
P006,1,45.98,59.63,67.34,45.89,74.14,55.01,73.21,53.36,58.69,59.01,45.45,56.98,52.03,42.53,60.58,62.17,52.35,48.09,65.37,48.7
P007,0,63.32,55.41,58.62,67.74,55.61,61.35,51.56,70.74,51.45,53.71,43.88,58.0,55.25,42.26,49.81,47.51,57.26,68.93,58.31,51.64
P008,0,55.29,54.61,60.91,62.71,57.88,61.99,61.03,61.33,56.77,61.34,45.07,76.6,67.27,59.57,64.17,77.06,59.4,68.08,70.27,64.59
P009,1,44.46,31.63,54.85,42.02,41.38,40.86,30.35,45.15,49.76,37.8,36.77,44.21,50.49,64.97,35.1,49.81,62.01,54.22,50.7,52.21
P010,0,33.67,56.99,32.73,37.91,69.85,48.37,64.93,50.03,53.04,57.83,39.56,50.61,42.13,38.93,51.06,39.83,44.69,58.87,61.5,42.8
P011,1,54.86,47.53,48.36,53.74,51.34,49.49,58.05,50.21,47.78,62.04,56.41,47.26,63.4,39.81,59.11,46.76,58.71,50.57,50.01,51.65
P012,1,64.21,57.52,46.67,49.62,74.71,51.53,51.23,51.6,49.6,49.4,69.25,60.9,61.0,68.53,49.19,49.45,61.31,54.61,42.34,64.69
P013,0,47.09,59.92,41.22,54.01,41.96,40.22,61.03,44.07,60.08,58.26,44.0,51.25,55.14,49.74,51.31,51.65,52.2,53.39,43.99,60.29
P014,0,45.79,53.26,49.73,42.72,35.64,51.31,40.95,42.68,35.52,56.5,41.73,52.84,63.23,46.92,45.24,54.66,52.83,50.9,60.37,48.51
P015,1,39.7,54.74,59.99,50.31,40.93,65.1,48.97,44.55,54.96,58.92,49.45,62.9,37.79,50.44,45.43,52.64,47.79,54.55,56.42,46.68
P016,0,43.95,50.68,50.68,51.85,53.96,52.31,50.01,44.86,42.69,38.62,49.81,63.78,41.85,50.91,43.0,50.96,65.5,54.12,58.16,41.56
P017,1,56.73,56.5,52.94,32.02,38.03,54.87,51.0,39.38,45.0,65.31,69.9,57.26,51.47,57.28,55.84,42.03,60.14,48.05,60.65,46.68
P018,0,30.64,53.52,27.27,31.69,41.2,43.25,30.6,51.94,29.4,28.92,46.29,30.22,32.55,30.75,33.75,42.72,39.17,36.75,51.09,39.92
P019,0,46.54,54.5,28.29,40.33,57.1,53.93,53.31,37.6,47.02,60.72,47.97,52.38,56.8,65.16,45.42,57.03,44.97,64.75,61.01,68.65
P020,0,49.15,25.28,39.19,38.62,38.66,46.14,48.44,31.33,52.89,40.25,43.09,40.84,57.17,47.26,45.21,33.18,39.16,42.67,38.06,31.05
P021,0,45.95,35.4,53.1,63.1,45.53,46.45,49.0,51.26,50.07,53.82,62.59,43.65,54.22,58.42,61.2,43.79,45.0,60.8,36.97,50.11
P022,0,48.63,63.77,44.09,57.3,54.77,52.75,61.71,57.29,52.77,66.52,61.78,47.04,54.92,40.62,47.87,51.13,53.08,50.59,46.19,54.59
P023,0,46.86,33.88,45.92,46.56,49.64,42.59,41.66,55.73,53.04,45.65,54.6,34.54,53.45,50.37,49.68,48.07,55.96,38.65,49.95,46.65
P024,0,39.06,42.68,60.1,42.13,53.7,40.61,45.17,46.21,39.3,27.86,57.24,39.35,49.49,44.19,37.68,50.36,38.39,42.45,42.27,45.41
P025,0,37.78,54.38,39.24,48.29,31.35,50.46,40.1,25.04,48.09,37.46,39.76,46.1,49.52,33.69,46.82,40.89,39.47,51.74,37.12,39.0
P026,0,63.1,49.96,48.27,46.87,56.52,37.93,52.09,49.35,44.02,46.19,52.73,54.65,54.35,56.25,56.76,53.36,41.51,50.46,61.84,46.16
P027,1,35.0,43.71,43.26,37.77,35.19,45.91,36.39,43.98,47.6,36.86,51.21,40.41,33.09,37.93,31.88,49.94,36.67,43.0,45.6,41.41
P028,1,58.14,64.48,58.3,53.93,50.31,50.78,55.53,57.32,73.17,65.43,48.29,57.25,57.93,53.01,55.23,42.55,50.43,56.52,62.6,63.94
P029,1,59.67,55.9,54.21,59.74,63.32,41.36,46.02,63.43,61.77,65.71,62.5,35.94,48.98,44.99,47.83,57.42,55.95,69.41,48.2,57.93
P030,1,70.42,56.23,58.09,60.32,53.46,62.63,53.52,47.29,52.43,61.64,60.65,65.32,50.47,67.87,56.62,56.42,66.3,72.44,79.15,67.44
P031,0,35.92,46.46,36.79,37.51,49.98,59.6,39.44,37.4,41.71,47.88,52.41,33.73,28.68,39.04,41.14,48.11,36.87,37.72,40.64,25.84
P032,0,48.24,48.28,53.81,48.17,62.43,52.58,61.94,45.87,54.29,42.46,57.13,58.6,57.63,54.46,58.97,65.05,67.51,66.64,55.63,57.68
P033,0,60.09,53.91,53.65,59.27,56.25,46.92,34.29,55.49,54.1,53.77,41.58,52.59,47.72,41.82,57.35,53.5,46.66,56.39,52.97,49.32
P034,0,51.09,43.35,32.4,57.53,54.44,48.24,47.03,42.69,34.73,43.76,53.99,68.47,50.52,41.55,41.38,47.41,44.93,45.65,53.23,47.98
P035,0,33.22,62.98,57.88,60.76,65.06,52.27,40.68,69.7,70.78,43.74,55.19,67.72,63.8,58.93,57.39,60.16,51.65,46.81,50.92,60.99
P036,1,61.26,49.02,56.8,37.7,45.1,54.07,47.02,62.0,52.38,54.72,52.21,38.88,62.2,62.99,47.23,47.99,48.25,33.56,51.07,53.98
P037,1,49.18,51.95,45.96,32.48,44.45,44.59,49.36,45.55,39.86,41.64,42.82,38.09,26.67,45.85,54.0,40.48,37.76,49.94,48.8,59.4
P038,1,50.49,51.51,44.23,38.01,59.73,56.65,44.03,56.21,68.16,59.52,50.34,54.33,54.24,65.83,47.08,54.94,69.9,44.2,49.78,52.67
P039,0,58.21,62.01,55.8,48.69,52.72,58.68,61.03,58.01,61.93,54.42,62.28,40.11,48.42,39.27,48.65,39.55,62.82,48.32,59.68,52.15
P040,1,41.27,34.68,46.97,37.42,44.78,47.33,40.62,40.72,51.75,41.96,35.46,43.36,37.16,46.11,32.07,45.5,41.56,35.72,40.93,24.04
P041,1,47.51,38.79,52.49,51.33,62.14,64.2,44.26,60.75,56.64,70.43,63.21,56.04,62.03,62.33,37.21,56.07,58.97,65.28,50.2,58.9
P042,1,53.94,53.8,53.91,65.57,36.75,55.26,60.3,60.7,77.94,62.6,53.27,61.21,41.8,62.58,61.99,62.7,46.78,32.8,55.32,48.42
P043,1,33.2,33.88,54.12,38.41,30.68,48.23,29.49,48.31,33.92,29.5,38.91,46.34,42.77,40.19,59.9,26.19,35.0,36.57,52.36,43.22
P044,0,27.27,30.01,41.92,43.98,36.84,26.28,44.79,35.76,63.44,39.13,46.68,23.66,41.96,36.35,36.31,45.57,26.33,23.11,34.68,38.62
P045,1,51.13,59.16,44.39,55.12,48.57,63.34,52.99,59.89,54.48,48.79,37.26,40.17,44.26,70.46,55.88,55.19,46.45,45.9,57.35,64.32
P046,0,43.21,50.21,60.37,47.45,47.58,52.83,43.84,46.92,47.35,48.42,48.16,45.33,43.75,44.87,58.14,57.2,50.56,59.12,35.88,45.94
P047,0,39.13,59.15,46.23,42.58,62.42,68.56,53.31,47.79,56.07,39.71,55.71,35.65,52.89,59.39,44.48,45.27,72.93,61.48,49.5,51.6
