task,n_treatment,n_control,mean_treatment,mean_control,sd_treatment,sd_control,difference,se,df,t_stat,ci_low,ci_high,p_raw,p_bonferroni,p_holm
task_01,100,100,51.9557,50.75469999999999,10.350355115656757,10.663994215881948,1.2010000000000076,1.4861043827960594,197.8238131048703,0.8081531915950367,-1.729639866562653,4.131639866562669,0.4199731540446144,1.0,1.0
task_02,100,100,51.6301,51.0449,11.886768086635431,10.110750303863245,0.5852000000000004,1.5605208337363692,193.03187244303447,0.37500300370796763,-2.4926614646876994,3.6630614646877,0.7080699280965683,1.0,1.0
task_03,100,100,49.91030000000001,49.24499999999999,11.562853135639303,10.520975633601113,0.6653000000000162,1.5632993984492924,196.26041310216382,0.4255742698167462,-2.417721772583679,3.7483217725837115,0.6708843898962812,1.0,1.0
task_04,100,100,50.26689999999999,52.04079999999999,10.974998280757326,9.732726079022923,-1.7738999999999976,1.4668897170268773,195.209960181374,-1.2092933636452066,-4.666886413099241,1.1190864130992457,0.22801271842028817,1.0,1.0
task_05,100,100,51.8909,48.837199999999996,9.91328504553054,9.324064345508987,3.0537000000000063,1.3609239373055768,197.26115622344014,2.2438432569904454,0.3698723969397233,5.73752760306029,0.02595382583756111,0.5190765167512222,0.5190765167512222
task_06,100,100,49.6892,51.32940000000001,11.224521377841292,9.86764356547973,-1.6402000000000072,1.4945242376655177,194.8018051033556,-1.0974730008808948,-4.587725481987906,1.3073254819878923,0.27378939934066493,1.0,1.0
task_07,100,100,50.9788,51.3713,9.882223636408964,10.84374908657173,-0.3924999999999983,1.4671238470303904,196.31716098562063,-0.26753024347225945,-3.2858463778307865,2.50084637783079,0.7893417857280681,1.0,1.0
task_08,100,100,51.8253,50.4786,11.253264617681198,11.349027103766216,1.3466999999999985,1.5982377193570916,197.98578442991754,0.8426155782017979,-1.805054107846491,4.498454107846488,0.4004602271413963,1.0,1.0
task_09,100,100,50.1972,50.82149999999999,10.711760088893897,9.023068793628111,-0.624299999999991,1.40056265356665,192.44525283707324,-0.44574942678227125,-3.3867243272779186,2.1381243272779367,0.6562793185398867,1.0,1.0
task_10,100,100,50.198599999999985,50.685,10.27648998953682,10.13270427672672,-0.4864000000000175,1.4431837806206333,197.96070153244438,-0.3370326125691655,-3.332387113209108,2.359587113209073,0.7364493673214946,1.0,1.0
task_11,100,100,51.7453,49.435300000000005,9.78360403889584,9.814426554616404,2.309999999999995,1.3857917469297418,197.99804101983273,1.6669171288672062,-0.4228057118476567,5.042805711847647,0.09711188950506672,1.0,1.0
task_12,100,100,50.7487,51.0657,10.540836956687773,10.616401381491249,-0.31700000000000017,1.496052211790765,197.9898979678055,-0.21189100052902107,-3.2672420350330538,2.6332420350330534,0.8324100378087408,1.0,1.0
task_13,100,100,51.368,50.12750000000001,10.090994485033162,10.524146873939115,1.2404999999999902,1.4580323628822927,197.65127344162633,0.8508041601681073,-1.6347964975052522,4.115796497505233,0.3959076854115134,1.0,1.0
task_14,100,100,48.75629999999999,50.0429,11.607094543746713,8.924704708353836,-1.2866000000000142,1.4641550391908225,185.74093972507475,-0.8787320779301244,-4.175111609549667,1.6019116095496386,0.38068190661984086,1.0,1.0
task_15,100,100,51.7528,50.3946,9.972334972717313,9.171304327668286,1.3582000000000036,1.3548442267610985,196.62774567610828,1.002476870161618,-1.3136911571412355,4.030091157141243,0.3173454072013386,1.0,1.0
task_16,100,100,49.768200000000014,50.70419999999999,10.83962319781952,9.926711355904047,-0.9359999999999786,1.469819816896416,196.48694512001433,-0.6368127502705607,-3.834647623181736,1.9626476231817787,0.5249880370050959,1.0,1.0
task_17,100,100,50.906099999999995,51.6058,10.5631288308422,10.614350794461185,-0.6997000000000071,1.497478325335123,197.99536687690016,-0.4672521719761254,-3.652753855157212,2.2533538551571977,0.6408332773777808,1.0,1.0
task_18,100,100,50.416599999999995,51.64,11.31689638897467,9.742619480582947,-1.2234000000000052,1.4932875751918055,193.71791777318592,-0.8192661750653523,-4.168589519649072,1.7217895196490618,0.41364134154084775,1.0,1.0
task_19,100,100,50.7682,51.6542,10.461617714871883,9.26743622049864,-0.8860000000000028,1.3976080255677246,195.16074681393533,-0.6339402635013486,-3.6423540336741733,1.8703540336741677,0.5268621172464646,1.0,1.0
task_20,100,100,50.905199999999994,51.471599999999995,9.296251170132066,9.428697942393155,-0.5664000000000016,1.3240869711128145,197.96038713116266,-0.42776646274525065,-3.1775258621155,2.044725862115497,0.6692861337556053,1.0,1.0
